Date, Close/Last, Volume, Open, High, Low
12/03/2019,$2.47,25616700,$2.40,$2.55,$2.38
12/02/2019,$2.44,17723070,$2.52,$2.55,$2.41
11/29/2019,$2.50,13329530,$2.61,$2.62,$2.45
11/27/2019,$2.52,36146890,$2.47,$2.54,$2.43
11/26/2019,$2.39,40398060,$2.45,$2.57,$2.36
11/25/2019,$2.52,36804850,$2.69,$2.82,$2.50
11/22/2019,$2.70,62998800,$3.08,$3.10,$2.69
11/21/2019,$3.12,108081100,$2.79,$3.25,$2.70
11/20/2019,$2.64,78810960,$2.41,$2.73,$2.36
11/19/2019,$2.34,56029070,$2.18,$2.45,$2.14
11/18/2019,$2.28,65158060,$2.72,$2.76,$2.26
11/15/2019,$2.73,57452710,$2.76,$3.17,$2.70
11/14/2019,$3.29,31193940,$3.42,$3.43,$3.11
11/13/2019,$3.55,14694830,$3.57,$3.58,$3.50
11/12/2019,$3.57,13600190,$3.60,$3.70,$3.55
11/11/2019,$3.62,13000380,$3.75,$3.79,$3.60
11/08/2019,$3.81,19130910,$3.62,$3.82,$3.56
11/07/2019,$3.58,12193920,$3.79,$3.82,$3.58
11/06/2019,$3.73,12855420,$3.80,$3.92,$3.72
11/05/2019,$3.76,13828300,$3.60,$3.84,$3.59
11/04/2019,$3.60,8180378,$3.61,$3.67,$3.58
11/01/2019,$3.58,5901351,$3.58,$3.64,$3.55
10/31/2019,$3.59,8495995,$3.64,$3.65,$3.51
10/30/2019,$3.61,6348840,$3.60,$3.69,$3.58
10/29/2019,$3.60,9722602,$3.67,$3.67,$3.58
10/28/2019,$3.69,13282430,$3.85,$3.94,$3.68
10/25/2019,$3.80,13173240,$3.70,$3.83,$3.64
10/24/2019,$3.72,9317508,$3.68,$3.74,$3.60
10/23/2019,$3.67,13711580,$3.55,$3.73,$3.50
10/22/2019,$3.58,11899220,$3.61,$3.66,$3.55
10/21/2019,$3.69,14691540,$3.70,$3.74,$3.51
10/18/2019,$3.68,15701190,$3.89,$3.91,$3.66
10/17/2019,$3.89,21273470,$3.81,$3.91,$3.70
10/16/2019,$3.61,16153830,$3.80,$3.81,$3.59
10/15/2019,$3.76,27429190,$3.63,$3.85,$3.52
10/14/2019,$3.51,18222330,$3.64,$3.68,$3.40
10/11/2019,$3.68,20451170,$3.74,$3.87,$3.64
10/10/2019,$3.72,29628490,$4.03,$4.06,$3.72
10/09/2019,$4.11,12801730,$4.17,$4.28,$4.09
10/08/2019,$4.15,14839780,$4.08,$4.25,$3.95
10/07/2019,$4.11,14750660,$4.36,$4.37,$4.11
10/04/2019,$4.40,14357850,$4.62,$4.64,$4.36
10/03/2019,$4.51,20629700,$4.23,$4.52,$4.07
10/02/2019,$4.15,27776520,$4.05,$4.33,$3.80
10/01/2019,$4.12,24194570,$4.33,$4.39,$4.05
09/30/2019,$4.39,18539080,$4.58,$4.60,$4.33
09/27/2019,$4.62,10858040,$4.70,$4.84,$4.60
09/26/2019,$4.74,12519130,$4.90,$4.92,$4.68
09/25/2019,$4.76,16504590,$4.73,$4.87,$4.51
09/24/2019,$4.76,17856810,$5.05,$5.07,$4.72
09/23/2019,$5.08,12245310,$4.93,$5.24,$4.93
09/20/2019,$5.02,17551180,$5.10,$5.10,$4.92
09/19/2019,$5.16,9520278,$5.27,$5.29,$5.15
09/18/2019,$5.27,13088100,$5.26,$5.42,$5.19
09/17/2019,$5.27,27419740,$5.40,$5.54,$5.14
09/16/2019,$5.45,33981270,$5.75,$5.83,$5.45
09/13/2019,$5.95,12475400,$5.92,$6.00,$5.80
09/12/2019,$5.89,25166860,$5.87,$6.04,$5.76
09/11/2019,$6.49,22733280,$6.34,$6.50,$6.17
09/10/2019,$6.28,13406640,$6.02,$6.29,$5.89
09/09/2019,$6.01,13294490,$6.23,$6.27,$5.89
09/06/2019,$6.08,15336690,$5.90,$6.23,$5.80
09/05/2019,$5.86,12568530,$5.59,$5.87,$5.57
09/04/2019,$5.59,10869180,$5.79,$5.81,$5.45
09/03/2019,$5.67,9331505,$5.45,$5.69,$5.43
08/30/2019,$5.50,8101665,$5.60,$5.62,$5.47
08/29/2019,$5.55,7066737,$5.66,$5.67,$5.52
08/28/2019,$5.58,10010900,$5.52,$5.65,$5.38
08/27/2019,$5.57,12221680,$5.80,$5.86,$5.55
08/26/2019,$5.80,11060570,$5.70,$5.85,$5.53
08/23/2019,$5.64,9228744,$5.73,$5.87,$5.64
08/22/2019,$5.79,8746876,$5.87,$5.95,$5.78
08/21/2019,$5.84,11299680,$5.97,$5.99,$5.82
08/20/2019,$5.93,12410050,$5.87,$6.02,$5.78
08/19/2019,$5.84,15968660,$6.14,$6.20,$5.77
08/16/2019,$5.99,11621540,$5.80,$6.11,$5.75
08/15/2019,$5.67,17724900,$5.95,$6.00,$5.65
08/14/2019,$6.09,14034600,$6.48,$6.48,$6.05
08/13/2019,$6.66,10499060,$6.46,$6.74,$6.44
08/12/2019,$6.59,8725300,$6.49,$6.60,$6.28
08/09/2019,$6.54,10877010,$6.62,$6.67,$6.37
08/08/2019,$6.64,9332896,$6.79,$6.82,$6.59
08/07/2019,$6.62,12053850,$6.81,$6.82,$6.53
08/06/2019,$6.83,36803510,$6.73,$7.20,$6.61
08/05/2019,$6.19,11155620,$6.17,$6.26,$6.06
08/02/2019,$6.33,16013760,$6.17,$6.37,$6.00
08/01/2019,$5.85,15947190,$6.22,$6.29,$5.85
07/31/2019,$6.25,7898560,$6.37,$6.40,$6.22
07/30/2019,$6.25,13497700,$6.06,$6.43,$6.00
07/29/2019,$6.21,19356710,$6.36,$6.38,$6.01
07/26/2019,$6.41,8141750,$6.48,$6.58,$6.35
07/25/2019,$6.49,8428844,$6.55,$6.70,$6.47
07/24/2019,$6.55,8636932,$6.63,$6.66,$6.49
07/23/2019,$6.66,9472970,$6.67,$6.78,$6.58
07/22/2019,$6.73,14002690,$6.83,$6.83,$6.44
07/19/2019,$6.84,9824027,$6.91,$7.05,$6.80
07/18/2019,$6.95,17939930,$7.31,$7.34,$6.92
07/17/2019,$7.41,12430190,$7.25,$7.46,$7.22
07/16/2019,$7.16,35592930,$7.06,$7.22,$6.93
07/15/2019,$7.01,14749880,$6.79,$7.05,$6.62
07/12/2019,$6.77,23530630,$7.17,$7.18,$6.75
07/11/2019,$7.18,10063720,$7.38,$7.48,$7.18
07/10/2019,$7.39,6219960,$7.39,$7.41,$7.30
07/09/2019,$7.34,7650612,$7.37,$7.39,$7.28
07/08/2019,$7.44,6234669,$7.49,$7.54,$7.41
07/05/2019,$7.54,5388862,$7.61,$7.64,$7.52
07/03/2019,$7.68,6653715,$7.58,$7.69,$7.46
07/02/2019,$7.63,6192607,$7.82,$7.84,$7.61
07/01/2019,$7.83,6129816,$7.98,$7.98,$7.77
06/28/2019,$7.82,7272601,$7.88,$7.92,$7.74
06/27/2019,$7.83,9505816,$7.64,$7.84,$7.61
06/26/2019,$7.63,8187861,$7.50,$7.63,$7.36
06/25/2019,$7.46,8050731,$7.52,$7.66,$7.42
06/24/2019,$7.51,9368101,$7.33,$7.53,$7.18
06/21/2019,$7.30,16154860,$7.34,$7.36,$7.01
06/20/2019,$7.44,9230121,$7.55,$7.62,$7.39
06/19/2019,$7.48,7324292,$7.53,$7.64,$7.48
06/18/2019,$7.56,7391457,$7.64,$7.69,$7.50
06/17/2019,$7.60,7514444,$7.61,$7.67,$7.50
06/14/2019,$7.56,9504081,$7.53,$7.71,$7.36
06/13/2019,$7.57,8405512,$7.75,$7.82,$7.51
06/12/2019,$7.75,7235373,$7.69,$7.79,$7.62
06/11/2019,$7.78,10008390,$8.02,$8.07,$7.68
06/10/2019,$7.94,11808330,$7.83,$8.00,$7.74
06/07/2019,$7.64,10840660,$7.49,$7.80,$7.46
06/06/2019,$7.53,10060550,$7.68,$7.69,$7.45
06/05/2019,$7.73,14086010,$8.12,$8.16,$7.57
06/04/2019,$7.87,16093170,$7.32,$7.89,$7.29
06/03/2019,$7.16,18938500,$7.50,$7.66,$7.13
05/31/2019,$7.59,16377410,$7.81,$7.85,$7.51
05/30/2019,$8.00,9435327,$8.14,$8.25,$7.93
05/29/2019,$8.12,13364030,$8.27,$8.27,$8.08
05/28/2019,$8.33,9117972,$8.35,$8.53,$8.31
05/24/2019,$8.31,7483887,$8.35,$8.42,$8.27
05/23/2019,$8.25,13876160,$8.51,$8.52,$8.20
05/22/2019,$8.61,9456887,$8.69,$8.77,$8.57
05/21/2019,$8.66,11937370,$8.64,$8.79,$8.58
05/20/2019,$8.49,10755170,$8.62,$8.64,$8.44
05/17/2019,$8.68,19189490,$8.77,$9.05,$8.65
05/16/2019,$8.89,22951800,$8.76,$8.90,$8.52
05/15/2019,$8.68,34250660,$8.02,$8.79,$8.01
05/14/2019,$8.38,19182700,$8.16,$8.49,$8.10
