Date, Close/Last, Volume, Open, High, Low
12/03/2019,$18.98,7521847,$17.62,$19.05,$17.61
12/02/2019,$18.14,4866993,$18.31,$18.56,$17.77
11/29/2019,$18.59,4212665,$19.18,$19.21,$18.34
11/27/2019,$18.81,7314523,$18.35,$18.85,$18.06
11/26/2019,$18.11,9452868,$18.00,$19.05,$17.62
11/25/2019,$18.45,10362900,$19.15,$19.75,$18.15
11/22/2019,$18.41,15782390,$19.60,$19.75,$18.03
11/21/2019,$20.29,38349960,$19.33,$21.56,$18.54
11/20/2019,$17.64,23899440,$16.13,$18.41,$15.98
11/19/2019,$15.32,10354440,$13.81,$15.58,$13.81
11/18/2019,$14.22,12885770,$15.15,$15.20,$14.18
11/15/2019,$15.33,8340362,$15.25,$15.86,$15.21
11/14/2019,$15.84,24398770,$16.40,$16.62,$15.19
11/13/2019,$18.50,7405617,$19.11,$19.38,$18.41
11/12/2019,$19.25,7556796,$20.24,$20.56,$19.05
11/11/2019,$20.30,8275788,$21.03,$21.20,$20.12
11/08/2019,$21.46,10919070,$19.01,$21.68,$18.89
11/07/2019,$19.08,3724848,$19.78,$19.93,$19.02
11/06/2019,$19.42,3575721,$19.75,$20.20,$19.36
11/05/2019,$19.86,3482263,$20.20,$20.51,$19.84
11/04/2019,$20.15,3995191,$19.71,$20.33,$19.53
11/01/2019,$19.71,3441680,$19.68,$20.18,$19.52
10/31/2019,$19.96,3774544,$20.05,$20.09,$19.42
10/30/2019,$20.16,2653307,$20.52,$20.88,$20.05
10/29/2019,$20.57,3226016,$21.35,$21.40,$20.55
10/28/2019,$21.64,3041663,$22.05,$22.48,$21.62
10/25/2019,$21.92,3254743,$21.54,$22.31,$21.32
10/24/2019,$21.66,3107956,$21.75,$22.02,$21.35
10/23/2019,$21.75,3963847,$21.01,$21.90,$20.72
10/22/2019,$21.15,3769842,$20.25,$21.18,$20.04
10/21/2019,$20.35,3843776,$20.25,$20.57,$19.72
10/18/2019,$20.21,5156187,$20.87,$20.89,$19.61
10/17/2019,$20.76,7010495,$20.75,$20.91,$19.86
10/16/2019,$19.73,4840064,$20.13,$20.19,$19.14
10/15/2019,$20.10,6744784,$19.11,$20.43,$19.02
10/14/2019,$18.86,9536331,$19.25,$19.46,$17.89
10/11/2019,$19.43,10867470,$20.00,$20.88,$19.26
10/10/2019,$20.42,9311176,$22.15,$22.32,$20.42
10/09/2019,$22.83,2523221,$22.80,$23.17,$22.38
10/08/2019,$22.72,4757847,$21.92,$23.09,$21.38
10/07/2019,$22.23,3332975,$22.69,$22.76,$21.91
10/04/2019,$22.92,4081070,$23.60,$23.75,$22.73
10/03/2019,$23.38,5702550,$21.98,$23.43,$21.52
10/02/2019,$21.98,8138168,$21.46,$22.58,$20.52
10/01/2019,$21.83,5850060,$22.64,$22.91,$21.62
09/30/2019,$22.93,5436537,$23.75,$23.75,$22.41
09/27/2019,$23.83,5285581,$23.95,$25.12,$23.71
09/26/2019,$24.74,3442892,$25.37,$25.41,$24.10
09/25/2019,$24.69,3876283,$24.01,$24.72,$23.10
09/24/2019,$24.01,4810057,$25.60,$25.65,$23.85
09/23/2019,$25.60,2872192,$25.24,$26.05,$25.02
09/20/2019,$25.56,5574010,$26.15,$26.40,$25.00
09/19/2019,$26.34,5752275,$28.63,$28.75,$26.27
09/18/2019,$28.79,2851049,$28.35,$28.89,$28.22
09/17/2019,$28.37,3148839,$28.30,$28.63,$27.78
09/16/2019,$27.76,3847733,$27.29,$28.74,$27.19
09/13/2019,$27.46,2552039,$26.75,$27.48,$26.54
09/12/2019,$26.53,2498419,$26.72,$27.26,$26.52
09/11/2019,$27.40,2919041,$27.37,$27.89,$26.97
09/10/2019,$27.43,3534767,$26.92,$27.59,$26.36
09/09/2019,$27.23,4610466,$28.25,$28.41,$26.81
