Date, Close/Last, Volume, Open, High, Low
12/03/2019,$6.88,6336846,$6.37,$6.90,$6.37
12/02/2019,$6.50,5618581,$6.82,$6.85,$6.43
11/29/2019,$6.85,2919398,$6.90,$6.94,$6.76
11/27/2019,$6.86,5202874,$6.80,$6.96,$6.73
11/26/2019,$6.74,7661569,$6.80,$6.99,$6.61
11/25/2019,$6.90,6190388,$7.09,$7.30,$6.85
11/22/2019,$7.07,11597080,$7.44,$7.47,$6.85
11/21/2019,$7.62,24566840,$7.24,$8.05,$6.98
11/20/2019,$6.87,17881520,$6.71,$7.08,$6.58
11/19/2019,$6.70,17279130,$6.10,$7.00,$6.09
11/18/2019,$6.14,8211294,$6.28,$6.36,$6.04
11/15/2019,$6.28,17375330,$6.62,$6.79,$6.15
11/14/2019,$6.82,10261990,$6.96,$7.07,$6.65
11/13/2019,$7.26,11451280,$7.80,$7.80,$7.18
11/12/2019,$7.83,11799130,$8.05,$8.50,$7.60
11/11/2019,$8.08,10163760,$8.50,$8.67,$7.90
11/08/2019,$8.52,7920348,$7.95,$8.60,$7.86
11/07/2019,$7.93,6158625,$8.40,$8.52,$7.86
11/06/2019,$8.33,3645152,$8.31,$8.48,$8.17
11/05/2019,$8.23,3596968,$8.12,$8.43,$8.08
11/04/2019,$8.08,4312321,$8.20,$8.30,$8.08
