Date, Close/Last, Volume, Open, High, Low
12/03/2019,$19.55,1196907,$18.55,$19.66,$18.50
12/02/2019,$19.01,1600917,$19.84,$19.90,$18.73
11/29/2019,$19.84,1042895,$20.30,$20.42,$19.45
11/27/2019,$20.24,964009,$20.28,$20.56,$19.98
11/26/2019,$20.05,1802024,$20.26,$21.01,$19.93
11/25/2019,$20.79,1626937,$21.50,$21.70,$20.50
11/22/2019,$21.33,1869026,$21.95,$22.00,$21.18
11/21/2019,$22.43,5404916,$22.20,$23.80,$21.60
11/20/2019,$20.92,2272754,$20.35,$21.26,$20.23
11/19/2019,$19.98,1877283,$19.72,$20.70,$19.72
11/18/2019,$19.91,1576190,$20.00,$20.14,$19.53
11/15/2019,$19.93,2032458,$19.44,$20.50,$19.41
11/14/2019,$19.81,2710439,$20.55,$20.84,$19.50
11/13/2019,$20.93,2445464,$21.26,$22.16,$20.92
11/12/2019,$21.57,3273014,$21.71,$21.90,$20.80
11/11/2019,$21.92,1994433,$23.58,$23.63,$21.80
11/08/2019,$23.42,2223279,$22.35,$24.10,$22.15
11/07/2019,$22.24,1191995,$23.03,$23.40,$21.76
11/06/2019,$22.89,1370070,$22.74,$23.75,$22.19
11/05/2019,$22.43,1108193,$22.10,$23.08,$21.66
11/04/2019,$22.10,898370,$21.72,$22.19,$21.30
11/01/2019,$21.62,1031140,$22.20,$22.65,$21.50
10/31/2019,$22.31,907464,$22.06,$22.54,$21.51
10/30/2019,$22.21,632126,$22.18,$22.80,$22.12
10/29/2019,$22.15,1005778,$22.85,$23.11,$21.95
10/28/2019,$23.09,1300289,$23.75,$24.75,$22.85
10/25/2019,$23.67,1656065,$24.02,$24.44,$23.42
10/24/2019,$24.38,3217518,$22.72,$25.69,$22.52
10/23/2019,$22.63,872980,$22.17,$22.80,$22.03
10/22/2019,$22.15,851609,$22.40,$22.86,$22.05
10/21/2019,$22.44,923128,$21.38,$22.65,$21.03
10/18/2019,$21.37,927983,$22.40,$22.49,$21.25
10/17/2019,$22.49,1214864,$22.49,$22.73,$21.66
10/16/2019,$21.73,1259603,$22.20,$22.45,$21.50
10/15/2019,$22.12,2138645,$21.45,$22.50,$21.05
10/14/2019,$20.66,1325702,$20.96,$21.35,$20.20
10/11/2019,$20.96,1819524,$21.09,$21.51,$20.66
10/10/2019,$20.65,3892106,$23.55,$23.90,$20.59
10/09/2019,$23.87,562406,$24.00,$24.53,$23.60
10/08/2019,$23.94,772476,$23.61,$24.96,$23.50
10/07/2019,$24.26,698452,$24.00,$24.58,$23.34
10/04/2019,$24.06,907835,$24.80,$25.49,$24.01
10/03/2019,$24.88,1253300,$24.04,$24.98,$23.12
10/02/2019,$24.05,1877601,$23.80,$24.87,$22.60
10/01/2019,$24.18,1196573,$24.60,$24.89,$23.68
09/30/2019,$24.74,1297576,$25.93,$25.95,$24.32
09/27/2019,$25.94,1449004,$26.37,$27.21,$25.75
09/26/2019,$26.71,1171746,$27.00,$27.24,$26.00
09/25/2019,$26.60,1110031,$26.66,$26.92,$25.87
09/24/2019,$26.73,1738346,$28.26,$28.31,$26.12
09/23/2019,$28.19,795447,$28.93,$29.50,$27.92
09/20/2019,$29.00,1175017,$30.23,$31.06,$28.98
09/19/2019,$29.96,1655418,$30.41,$31.07,$29.58
09/18/2019,$30.48,1005869,$30.62,$30.84,$30.15
09/17/2019,$30.50,1195923,$31.04,$31.88,$30.28
09/16/2019,$30.79,1864076,$31.70,$32.77,$30.60
09/13/2019,$31.65,1404372,$30.88,$31.85,$30.69
09/12/2019,$30.57,1098872,$29.99,$31.39,$29.90
09/11/2019,$30.71,1587465,$30.20,$31.00,$29.29
09/10/2019,$31.13,1439030,$30.07,$31.86,$29.07
09/09/2019,$30.15,2610488,$32.38,$32.55,$30.00
09/06/2019,$32.06,2818115,$32.60,$33.66,$31.26
09/05/2019,$32.08,3730299,$30.00,$32.75,$30.00
09/04/2019,$30.00,4531542,$29.79,$31.55,$27.77
09/03/2019,$30.10,4647265,$25.17,$30.97,$25.15
08/30/2019,$25.67,1759775,$26.75,$27.14,$25.40
08/29/2019,$26.74,1561465,$27.75,$27.79,$26.50
08/28/2019,$27.20,1537022,$26.46,$27.65,$25.52
08/27/2019,$26.49,2155077,$28.30,$28.49,$26.02
08/26/2019,$28.20,1459792,$28.44,$28.96,$27.83
08/23/2019,$28.29,2399714,$29.25,$29.60,$28.28
08/22/2019,$29.01,3596245,$31.53,$32.17,$29.00
08/21/2019,$32.34,3537396,$29.68,$32.40,$29.58
08/20/2019,$29.30,2195022,$30.11,$31.39,$28.72
08/19/2019,$29.93,3965727,$31.67,$31.85,$28.90
08/16/2019,$31.31,4740225,$35.50,$35.77,$30.58
08/15/2019,$35.12,2893426,$37.62,$37.90,$34.51
08/14/2019,$39.04,3721954,$41.16,$42.17,$38.59
08/13/2019,$46.02,4088608,$43.20,$46.25,$42.86
08/12/2019,$42.46,868445,$42.47,$42.75,$41.54
08/09/2019,$42.57,1265496,$43.61,$44.65,$42.30
08/08/2019,$43.89,827156,$42.80,$44.33,$42.10
